,State Cleanup Site #,Name,Address,City,ZIP,County,Status,Media Name,Contaminant,Chemical,SNO
1134,199908178,Eppet and Sons Garage,RR 3 Box 251a,ROCKVILLE,47872,Parke,Delisted,Soil,Petroleum,Fuel Oil  no. 2,228
1145,199909198,Montgomery County Jail,412 Covington,Crawfordsville,47933,Montgomery,NFA,Soil,Petroleum,Toluene,75
1147,199910052,Rushville Sewers,135 S. Codwell Dr.,RUSHVILLE,46173,Rush,Delisted,Groundwater,Petroleum,Petroleum Products,210
1155,199910133,Karen Bailey Property,109 Boulder Dr.,NOBLESVILLE,46060,Hamilton,Inactive,Soil,Petroleum,Petroleum,21
1159,199911006,Fort Wayne Comm. Schools,1200 S. Clinton Street,FORT WAYNE,46802,Allen,REF,Soil,Petroleum,Diesel Gas Kerosene,208
1160,199911062,Howell Tractor & Equipment Company,480 Blaine St,Gary,46406,Lake,NFA,Groundwater,Petroleum,Benzene,217
1161,199911062,Howell Tractor & Equipment Company,480 Blaine St,Gary,46406,Lake,NFA,Soil,Petroleum,Benzene,217
1167,199912033,Hook Drugs Incorporated,2800 Enterprise St,Indianapolis,46226,Marion,NFA,Soil,Petroleum,Diesel Gas Kerosene,8
1169,199912041,Residential Property,783 Elwin Lane,Kouts,46347,Porter,Inactive,Groundwater,Petroleum,Diesel Gas Kerosene,307
1170,199912041,Residential Property,783 Elwin Lane,Kouts,46347,Porter,Inactive,Soil,Petroleum,Diesel Gas Kerosene,307
1175,199912131,Islamic Society of N.A.,6555 South 750 East,PLAINFIELD,46168,Hendricks,NFA,Soil,Petroleum,Petroleum Products,42
1178,200000112,Honey Creek Mall,3401 S US Hwy 44,Terre Haute,47802,Vigo,NFA,Soil,Petroleum,Organics,40
1180,200001086,Robert Klosinski Residence,5455 North Fall Road,LA PORTE,46350,La Porte,NFA,Soil,Petroleum,Petroleum Products,13
1186,200002046,Roland Penix Property,807 N. Wayne St.,ANGOLA,46703,Steuben,NFA,Groundwater,Petroleum,Benzene,136
1192,200003083,CSX - Avon,Avon rail yard,AVON,46123,Hendricks,NFA,Soil,Petroleum,Petroleum Products,36
1199,200004250,Indalex,23841 Reedy Drive,Elkhart,46517,Elkhart,NFA,Soil,Petroleum,"Lubricating oils, petroleum, hydrotreated spent",86
1217,200008205,Gunite Corporation,54722 Chelsea Ln,Elkhart,46516,Elkhart,NFA,Groundwater,Lead,Lead,51
1219,200008205,Gunite Corporation,54722 Chelsea Ln,Elkhart,46516,Elkhart,NFA,Soil,Petroleum,Petroleum Products,51
1226,200009129,Newman,435 West US 6,Valparaiso,46383,Porter,NFA,Soil,Petroleum,Petroleum Products,18
1227,200009165,INDOT Winamac,US 35 & 11 th St,Winamac,46996,Pulaski,NFA,Soil,Petroleum,Petroleum Products,267
1241,200010246,Taylor Oil,P.O. Box 757,Washington,47501,Daviess,NFA,Soil,Petroleum,Petroleum Products,137
1247,200011210,Speedway Volkswagon Incorporated,1930 W 16th St,Indianapolis,46202,Marion,NFA,Soil,Petroleum,Petroleum Products,124
1250,200012108,Metro Development,306 Civic Center Complex,EVANSVILLE,47708,Vanderburgh,NFA,Soil,Petroleum,Petroleum Products,687
1254,200101105,Starr Senior Apartments,410 North 10th Street,Richmond,47374,Wayne,NFA,Soil,Petroleum,Petroleum Products,9
