County,Chemical,Total Transfers,Total Releases
LAKE,Lead,0.0,7535.400000000001
LAKE,Lead  And Lead Compounds,145.853,502076.123
LAKE,Lead compounds,3.62,394.48
LAKE,Manganese,0.0,12242.3
LAKE,Manganese compounds,0.0,754.23
LAKE,Methanol,12593.0,19010.84
LAKE,Naphthalene,0.0,11328.022
LAKE,Nickel,0.0,1.0
LAKE,Nitrate compounds (water dissociable; reportable only when in aqueous solution),24102.0,1459488.24
LAKE,Nitric acid,0.0,93.9
LAKE,Polycyclic aromatic compounds,0.0,6718.422
LAKE,Styrene,0.0,15075.0
LAKE,Toluene,0.0,105784.50899999999
LAKE,Xylene (mixed isomers),767.0,106895.816
LAKE,Zinc compounds,71.77,7703858.57
LAKE,n-Hexane,0.0,140515.092
LAPORTE,"1,2,4-Trimethylbenzene",0.0,12333.0
LAPORTE,Ammonia,0.0,2597.42
LAPORTE,Certain glycol ethers,0.0,14378.0
LAPORTE,Chromium,36.26,467.466
LAPORTE,Copper,1.33,229.47
LAPORTE,Diisocyanates,0.0,0.0
LAPORTE,Ethylene glycol,0.0,0.0
LAPORTE,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,191.0
LAPORTE,Lead,0.0,0.0
LAPORTE,Lead compounds,0.0,10234.871
LAPORTE,Manganese,0.0,1806.34
LAPORTE,Manganese compounds,0.0,25895.0
LAPORTE,Methanol,0.0,44805.0
LAPORTE,Nickel,59.0,624.4
LAPORTE,Nitrate compounds (water dissociable; reportable only when in aqueous solution),12490.0,1249.0
LAPORTE,Nitric acid,0.0,457.007
LAPORTE,Polycyclic aromatic compounds,0.0,5542.153
LAPORTE,Xylene (mixed isomers),0.0,6088.0
LAPORTE,Zinc compounds,67.0,38279.006
LAPORTE,n-Hexane,0.0,0.0
LAWRENCE,Ammonia,0.0,12993.0
LAWRENCE,Copper,0.0,350.31
LAWRENCE,Lead,0.0,61.369
LAWRENCE,Lead  And Lead Compounds,0.0,413.0
LAWRENCE,Manganese compounds,0.0,1004.0
LAWRENCE,Nickel,0.0,13.0
MADISON,Ammonia,0.0,0.0
MADISON,Chromium,0.0,4.9
MADISON,Copper,4.28,4.56
MADISON,Lead compounds,0.0,275.65
MADISON,Manganese,0.0,0.28
MADISON,Nickel,0.0,0.28
MADISON,Nitrate compounds (water dissociable; reportable only when in aqueous solution),7060.0,2.2
MADISON,Nitric acid,0.0,505.0
MADISON,Toluene,0.0,705.0
MADISON,Zinc compounds,0.0,0.0
MADISON,n-Hexane,0.0,3512.0
MARION,"1,2,4-Trimethylbenzene",0.0,216.0
MARION,Ammonia,20095.73,22111.0
MARION,Certain glycol ethers,1563.509,2709.749
MARION,Chromium,49.65,701183.9
MARION,Copper,52.22,837027.63
MARION,Diisocyanates,0.0,13456.12
MARION,Ethylbenzene,1.0,768.0
MARION,Ethylene glycol,0.0,560.0
MARION,Lead,5.6,766481.512
MARION,Lead  And Lead Compounds,84.75,1681259.25
MARION,Lead compounds,9.5,9.513
MARION,Manganese,110.68,117603.48
MARION,Manganese compounds,5.0,25.0
MARION,Methanol,39134.0,8850.72
MARION,Naphthalene,0.0,165.0
MARION,Nickel,77.95,1397076.1099999999
MARION,Nitrate compounds (water dissociable; reportable only when in aqueous solution),125884.14,41738.54
MARION,Nitric acid,203997.29,667.442
MARION,Polycyclic aromatic compounds,0.0,332.775
MARION,Styrene,993.0,6128.95
MARION,Toluene,32.0,39866.08
MARION,Xylene (mixed isomers),488.0,35406.19
MARION,Zinc compounds,72.844,936720.4
MARION,n-Hexane,0.0,8409.0
MARSHALL,Certain glycol ethers,0.0,5371.0
MARSHALL,Chromium,0.0,0.0
MARSHALL,Copper,72.0,7590.0
MARSHALL,Diisocyanates,0.0,36305.2
MARSHALL,Ethylbenzene,0.0,8046.0
MARSHALL,Lead,0.0,8.052
MARSHALL,Lead  And Lead Compounds,0.213,1793.093
MARSHALL,Manganese,0.0,250.0
MARSHALL,Nickel,0.0,0.0
MARSHALL,Nitrate compounds (water dissociable; reportable only when in aqueous solution),31201.0,3120.1
MARSHALL,Nitric acid,5750.0,0.0
MARSHALL,Polycyclic aromatic compounds,0.0,35.0
MARSHALL,Styrene,0.0,1006091.1699999999
MARSHALL,Toluene,0.0,32738.705
MARSHALL,Xylene (mixed isomers),0.0,50117.44
