County,Chemical,Total Transfers,Total Releases,Length of Life Z-Score,Length of Life Rank,Quality of Life Z-Score,Quality of Life Rank,Health Behaviors Z-Score,Health Behaviors Rank,Clinical Care Z-Score,Clinical Care Rank,Social and Economica Factors Z-Score,Social and Economic Factors Rank,Physical Environment Z-Score,Physical Environment Rank,Deaths,Years of Potential Life Lost
Clark,Chromium,0.0,0.0,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Diisocyanates,0.0,0.0,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Ethylbenzene,0.0,12474.29,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Lead,0.0,53.368,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Manganese,0.0,1026.396,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Manganese compounds,0.0,230.0,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Methanol,0.0,1089.04,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Naphthalene,0.0,219.0,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Nickel,0.0,0.0,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,0.0,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Toluene,0.0,14538.43,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Xylene (mixed isomers),0.0,71841.39,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Zinc compounds,0.0,0.0,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clay,"1,2,4-Trimethylbenzene",0.0,1032.0,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clay,Certain glycol ethers,0.0,2585.0,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clay,Chromium,0.0,0.0,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clay,Diisocyanates,0.0,0.0,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clay,Ethylbenzene,0.0,1507.0,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clay,Lead compounds,0.0,576.0,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clay,Manganese,0.0,0.0,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clay,Manganese compounds,0.0,535.335,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clay,Nickel,0.0,0.0,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clay,Polycyclic aromatic compounds,0.0,0.05,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clay,Toluene,0.0,1431.0,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clay,Xylene (mixed isomers),0.0,3737.0,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clay,Zinc compounds,0.0,25962.65,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35,428,9141.043165
Clinton,Diisocyanates,0.0,10615.24,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82,483,9035.3350309
Clinton,Ethylene glycol,0.0,3196.703,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82,483,9035.3350309
Clinton,Lead,0.0,0.099,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82,483,9035.3350309
Clinton,Lead  And Lead Compounds,0.0,3.01,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82,483,9035.3350309
Clinton,Manganese,0.0,0.0,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82,483,9035.3350309
Clinton,Manganese compounds,0.0,0.0,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82,483,9035.3350309
Clinton,Nickel,0.0,0.0,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82,483,9035.3350309
Clinton,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,79000.0,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82,483,9035.3350309
Clinton,Nitric acid,0.0,19.75,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82,483,9035.3350309
Clinton,Styrene,0.0,2607.01,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82,483,9035.3350309
Clinton,Zinc compounds,0.0,0.0,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82,483,9035.3350309
Clinton,n-Hexane,47.0,390134.0,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82,483,9035.3350309
Daviess,Ethylbenzene,0.0,41.5,-0.38536274,21,-0.027422057,45,0.1842488406,82,0.2007110563,91,0.028008625,53,-0.043634104,9,463,7361.2439013
